sphere;shortName;onMap?;gridRef;xCoord;yCoord;sphereRadius;primaryBody;Planet 1;Orbit Radius (million miles);Orbit Track;Planet 2;Orbit Radius (million miles);Orbit Track;Planet 3;Orbit Radius (million miles);Orbit Track;Planet 4;Orbit Radius (million miles);Orbit Track;Planet 5;Orbit Radius (million miles);Orbit Track;Planet 6;Orbit Radius (million miles);Orbit Track;Planet 7;Orbit Radius (million miles);Orbit Track;Planet 8;Orbit Radius (million miles);Orbit Track;Planet 9;Orbit Radius (million miles);Orbit Track;Planet 10;Orbit Radius (million miles);Orbit Track;Planet 11;Orbit Radius (million miles);Orbit Track;Planet 12;Orbit Radius (million miles);Orbit Track;Planet 13;Orbit Radius (million miles);Orbit Track;Planet 14;Orbit Radius (million miles);Orbit Track;Planet 15;Orbit Radius (million miles);Orbit Track;Planet 16;Orbit Radius (million miles);Orbit Track;Planet 17;Orbit Radius (million miles);Orbit Track;Planet 18;Orbit Radius (million miles);Orbit Track;Planet 19;Orbit Radius (million miles);Orbit Track;Planet 20;Orbit Radius (million miles);Orbit Track;Planet 21;Orbit Radius (million miles);Orbit Track;Planet 22;Orbit Radius (million miles);Orbit Track;Planet 23;Orbit Radius (million miles);Orbit Track;region;flowRiver;population;activity;controlled;description;source;creator;website;isKnown
Jadespace ;Jade;Yes;E2;128;370;11596;Orbus;Parla;23;I1;Hem;52;I3;Titan;125;I6;Merk;158;I8;Rainuss;284;I14;Delk;409;O1;Junda;1179;O3;The God's Fury;1587;O4;Warance;2384;O6;UsSpey;2833;O7;Dracos;3603;O9;Arcanius;4441;O11;Thannes;4792;O12;StarLancus;5798;O14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;Self;Jadespace is one of the older known Spheres. Ancient artifacts of the Juna can still be found within the crystal sphere. It is one of the most diverse spheres known for all walks of life and any know spelljamming race can be found here.;;Jordan Silverton;;yes
Far Seer‘s;Far Seer‘s;Yes;E3;137;344;438;;;118;I6;;219;I11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IEN;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;no
Lorpulanspace;Lorpulan;Yes;E4;121;321;0;;Mefesk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TCMC6 p.7;TSR;;no
Spiderspace;Spider;Yes;E4;134;329;2344;The Trap;The Gems;36;I2;Haven, Spiderspace;143;I7;Prison;259;I13;Shipyard;403;O1;SlaveWorld;1172;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Drow, slaves;High;Drow;Webspace is actually two spheres in one. Both co-exist with one another, seperated by a magical curtain;;Kevin Scardino & Jonathan Stevenson;;yes
Spiderspace part 2;Spider 2;Yes;E4;134;329;2344;Web Core;Drider;1172;O3;Widow;1172;O3;Tranch;1172;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Drow, slaves;High;Drow;Webspace is actually two spheres in one. Both co-exist with one another, seperated by a magical curtain;;Kevin Scardino & Jonathan Stevenson;;yes
Ragespace  ;Rage;Yes;E5;122;296;9000;Glyph;Executioner;20;I1;Hoodman's Guard;55;I3;Slutmoor;150;I8;Misplaced;260;I13;Dark Crucifix;350;O1;Blackwood;450;O1;Aius;570;O1;Krayus;700;O2;Newhaven;800;O2;Void;1500;O4;Blind Huntress;1750;O4;Blacksea;2300;O6;Kanoxx;2500;O6;LordMasterBase;2850;O7;The Dust Clouds;3100;O8;The Bitch's Threesome;3400;O9;Relic;3700;O9;Arabani Citadel;3950;O10;New Bral;4250;O11;Order's Island;4500;O11;;;;;;;;;;;;Various;Medium;Order;Dark & Dangerous Sphere;;Enildarion;lost.spelljammer.org/Enildarion/enerspragespace.html;yes
Turnspace;Turn;Yes;E6;119;268;4022;Sun, Turnspace;Ultonka;29;I1;Comporellon;86;I4;Cranosh;145;I7;Poltilor;234;I12;Gainiiaaon;434;O1;The wee One;2011;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;It is named due to upon entering the sphere, one appears in the orbit of Gainiiaaon. The crystal shell is actually a month away, toward the Wee One, at spelljamming speed. Portals open within Gainiiaaon to allow for exit. also known as Compspace.;SJR4 p.4;Nigel Findly/Rovion;;yes
Heartspace;Heart;Yes;E7;116;236;6000;The Heart;The Vein;800;O2;Desolate;1100;O3;Crescent;1350;O3;Starfall;2200;O6;Lirak's Cube;2700;O7;Loom;3000;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gnomes, Dwarves;High;Self;"Features in ""The Broken Sphere"" (TCMC5 p.16)";TCMC5 p.16-106;Nigel Findley;lost.spelljammer.org/Enildarion/enerspheartspace.html;yes
Cloudspace;Cloud;Yes;E8;129;213;966;Sun, Cloudspace;Talerra;58;I3;Dust Belt;300;I15;Rainbow;483;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;Self;;;Static;www.spelljammer.org/worlds/cloudspace;yes
Morunespace;Morune;Yes;E9;125;194;0;;Bondel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes
Sidiusspace;Sidius;Yes;F1;157;388;3218;;;36;I2;;105;I5;;198;I10;Sydia;221;I11;;397;O1;;1609;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Hyrkulspace;Hyrkul;Yes;F10;159;180;6600;Helios;Apoll;30;I2;Posayd;70;I4;Hyrkul;100;I5;Hyrkulspace Asteroid Belt;110;I6;Hephæ;500;O1;Demet;1200;O3;Aphrod;1900;O5;Zeu;3300;O8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;Magocracy;;;Patrick Stuzman;lost.spelljammer.org/Hyrkulspace//hyrkul.html;yes
Falxspace;Falx;Yes;F11;143;153;2000;Furnace;Falx;70;I4;Pharagos;100;I5;Ssirik Akuar;200;I10;Kithrup;300;I15;Ssovos;500;O1;Yrykos;1000;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Illithids;High;Illithids;Contains Falx (PP), Sunset World (Dragon #150), Pharagos (Dungeon #100);SJR4 p.7+ED47;ripvanwormer;http://www.thepiazza.org.uk/bb/viewtopic.php?f=2&t=2464&p=31372&hilit=falxspace;yes
Vodonikaspace;Vodonika;Yes;F13;147;84;4314;Vodoni Secundus;Teikruss;79;I4;Vodonika Inner Belt;128;I6;Khaoras;144;I7;Sha'rvir;211;I11;New Kathyk;399;O1;Wrakjhann;757;O2;The Stormgirdle;2157;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;Vodoni;High;Vodoni;From Under the Dark Fist;SJA4 p.53;TSR / Roger Burns;http://oracle.wizards.com/scripts/wa.exe?A2=ind0708b&L=spelljammer-l&P=1027;yes
Thasiaspace;Thasia;Yes;F15;157;44;892;Thasia;Lifegiver;446;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.53;TSR;http://www.archlich.com/kotsc/Places/VodoniCluster/Thasiaspace.html;yes
Lostspace;Lost;Yes;F16;143;28;200;Sun, Lostspace;Ious;10;I1;Golgotha;50;I3;Chian Cluster;78;I4;Rime;100;I5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;None;High;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;;yes
Tukonspace;Tukon;Yes;F2;144;358;850;Tuka Manak;Suns of Tuka;57;I3;Van-val;125;I6;Threnth;188;I9;The Rocks of Tuka;207;I10;Wak-ath;280;I14;Comet ring;425;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Xenos;;;Charles Taylor;;yes
Nebulaspace;Nebula;Yes;F3;156;336;408;Sun, Nebulaspace;Noid;132;I7;Alabeth;204;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;IEN;It is named so because of the great seas of air that float through space. (aka Cloudspace);SJR4 p.33;Nigel Findly/Rovion;;yes
Silkspace  ;Silk;Yes;F3;148;343;5642;Silksun;Oberah;15;I1;Chillwind;87;I4;Jera;147;I7;Baripah;242;I12;Shreeve;361;O1;Excell;1966;O5;Biteray;2821;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;None;The system is thick with stray gasses, which makes it impossible to see another of the worlds unless it is close enough, or 'in phase.';;Steve Myers;http://www.asterland.com/setting/;yes
Fjordspace;Fjord;Yes;F4;145;310;846;Sól;Muspell;49;I2;Midgard;90;I5;Jotun;203;I10;Dreki;278;I14;Nithav;423;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Norse/Celtic;Medium;Giants;Giant-dominated sphere;Knights of the Sword Coast;Archlich;www.archlich.com/kotsc/Placees/MinorSpheres.html;yes
Giantspace ;Giant;Yes;F4;160;325;9706;Cloud Giant;Cyclop;62;I3;Desert Giant;86;I4;Ettin;108;I5;Firbolg;173;I9;Fire Giant;254;I13;Fog Giant;365;O1;Fomorian;1028;O3;Frost Giant;1557;O4;Hill Giant;2755;O7;Jungle Giant;4102;O10;Mountain Giant;4853;O12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Giants;High;Giants;This is the homesphere of all giant races. Each planet houses grand civilizations comprised solely of that species of giants.;;Max Currier;;yes
Nexspace  ;Nex;Yes;F5;141;286;100;Nex;Phobost;50;I3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Juna;None;None;Nexspace is a sphere mentioned in the Cloakmaster Cycle. TCMC5 p.90;TCMC5 p.90-139;Nigel Findley;;yes
Winterspace;Winter;Yes;F6;152;258;3940;Virotess;Valrong;98;I5;Bloranor;204;I10;Radole;275;I14;Polor;332;O1;Armistice;398;O1;Whyst;1970;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;IEN;Winterspace is a sphere mentioned of in the Cloakmastercycle. Telden must travel with the elves through Armistice and Radole.;SJR4 p.13, TCMC4 p.24;Nigel Findley;;yes
Pathspace;Path;Yes;F6;155;279;2036;;Astrylon;;;Barrara;;;Cidadel of the Keepers of the Flame;;;Devis;1018;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Humans;High;None;Human worlds on major trade routes, mentioned in TCMC2 p.10;TCMC2 p.10, TCMC5 p.202;TSR;;yes
Charspace  ;Char;Yes;F8;159;217;3000;Sol, CharSpace;Aphrodite;50;I3;Charion;100;I5;Ares;200;I10;Zeus;400;O1;CharSpace Belt;750;O2;Apollo;1000;O3;Hades;1500;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;;;Jonathan Stevenson;;yes
Glowrings Sphere;Glowrings;Yes;F8;140;225;3000;;Tel’Quesseron;1500;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;This sphere has many glowing rings of world spanning size.They come in many different colors.;TCMC3 p.33;TSR;;yes
Sillusspace;Sillus;Yes;F9;140;192;4012;;Lar;2006;O5;Arborianna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IEN;;;;planejammerchronicles.com;yes
Taur-Utu space;Taur-Utu;Yes;F9;147;201;3800;Utu;Geb;120;I6;Ellel;140;I7;Ahto;180;I9;Athirat;300;I15;Girru;1900;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Minotaurs, Elves;Moderate;Tauran Empire;Home of spacefaring minotaur empire;Hackjammer p.128;Paul Westermeyer;http://www.spelljammer.org/worlds/Tauruspace/;yes
Kerrspace;Kerr;Yes;G1;168;402;2402;;;59;I3;;71;I4;;97;I5;;185;I9;;268;I13;;378;O1;;1201;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;High;Neogi;;;Charles Taylor;;no
Beltspace;Belt;Yes;G10;164;164;420;Empty;Freehold Belt;210;I11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;None;Small, planetless sphere with many asteroid belts;Knights of the Sword Coast;Archlich;http://www.archlich.com/kotsc/Placees/MinorSpheres.html;yes
Stormspace;Storm;Yes;G10;176;170;3144;Storm Sun;Stormspace 1;39;I2;Stormspace 2;167;I8;Stormwind;267;I13;Mylos;443;O1;Hell's Fire;1572;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jimmy McCall;http://www.stormspace.net;yes
Redeyespace;Redeye;Yes;G11;178;155;7220;;;;;;3610;O9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;None;Mentioned in SJR1 Lost Ships. A mostly deserted, dangereous sphere;SJR1 p.62;TSR;;yes
Ilsisinespace;Ilsisine;Yes;G12;182;131;2526;Ilsisine's Eye;Cognitio;76;I4;Fearsea;143;I7;Cerebro;197;I10;Asphix;231;I12;Mindfort;389;O1;Nimbdie;1263;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Illithids;High;Illithids;Illithids capital sphere - still recovering from massive damage suffered during the vodani war.;;Adam Miller;www.spelljammer.org/worlds/Maelstrom/;yes
Vodonispace  ;Vodoni;Yes;G13;167;104;2094;Vodoni Prime;Sala;137;I7;Vodon;360;O1;Grog;694;O2;The Web;874;O2;Calandia;1047;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;Vodoni;High;Vodoni;From Under the Dark Fist;SJA4 p.53;TSR;;yes
Vergonspace;Vergon;Yes;G14/15;174;57;4784;Vergon Prime;Sirocco;128;I6;Sceptre;162;I8;Bladering Belt;173;I9;Blacksea, Vergonspace;290;I15;Hexahedron;414;O1;Anvil;809;O2;Lattice, Vergonspace;2392;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.53;TSR / Roger Burns;http://oracle.wizards.com/scripts/wa.exe?A2=ind0708b&L=spelljammer-l&P=1027;yes
Farabaspace;Faraba;Yes;G16;171;25;2484;;;42;I2;Torus;60;I3;;110;I6;;269;I13;;368;O1;;415;O1;;1242;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;no
Lizardspace;Lizard;Yes;G2;166;363;1600;Triple Sun;Jungle-1;118;I6;Jungle-2;185;I9;Air;383;O1;Wanderer;;;Outer Belt;800;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lizard Men;High;Lizard Men;Reptilian sphere;Knights of the Sword Coast;Archlich;www.archlich.com/kotsc/Placees/MinorSpheres.html;yes
Octorspace;Octor;Yes;G4;182;315;4800;Arzol;Bodi;40;I2;Octorea;80;I4;Kolin;140;I7;Hurlock;180;I9;Oyem;200;I10;Florbeau;400;O1;Borysov;800;O2;Bogda;1600;O4;Akdor;2400;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;Octoreans;At war with Thuriaspace;;Brian Higbee;www.ganae.com/DnD/Wildspace/Octorspace.html;yes
Primespace;Prime;Yes;G5;170;284;806;Prime;Ignius Air;;;Uvalessen;;;Octapawn;;;Primespace Mercantile Post;403;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;IEN;It is named so for its central planet, Prime. Teldin visits a mechantile post in the outskirts of the sphere in The Broken Sphere.;TCMC5 p.202, 307;Nigel Findley/Rovion;;yes
Vistaspace;Vista;Yes;G5;172;298;2000;Sun, Vistaspace;Scorch;;;Blobwash;;;Garrash;;;Steam;;;Shield;1000;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;From The Broken Sphere (p.214);TCMC5 p.213, SJR4 p.22;Nigel Findley/Rovion;;yes
Clusterspace;Cluster;Yes;G6;185;266;10800;Firefall;Islands of the Sun;20;I1;Denaeb;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;The Fringe;5400;O14;;;;;;;;;;Radiant Triangle;;Various;Moderate;Self;Astromundi Cluster capaign setting;Astromundi Cluster;TSR;;yes
Sea of Shadows;Sea of Shadows;No;G7;174;237;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TSR;;yes
Krynnspace;Krynn;Yes;G8;167;230;4000;Sun, Krynnspace;Sirion;30;I2;Reorx;50;I3;Krynn;100;I5;Chislev;300;I15;Zivilyn;600;O2;Nehsmyth;900;O2;Stellar Islands;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Various;High;IEN;Krynnspace is a sphere made for the Dragonlance Campaign World.;SJR7 Krynnspace;TSR/MWP;;yes
Shadowspace;Shadow;Yes;G9;178;194;55;Sun & Myyn;Tryggyt;7,4;I0;Delless;9,4;I0;Asteroid;11,4;I1;Pajjax;13,4;I1;Kiffin;15,4;I1;Debris Belt;17,4;I1;Wirrit;19,4;I1;Chonnot;21,4;I1;Ivussus;23,4;I1;Lukkum;25,4;I1;Sohhoras;27,4;I1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;Shadowspace (from Heart of the Enemy);SJQ1 p.31-80;TSR;;no
Moragspace;Morag;Yes;G9;168;198;2000;Moragsun;Watereye;;;The Vice;200;I10;Char;60;I3;Mine 1;1000;O3;Mine 2;500;O1;Mine 3;500;O1;Mine 4;500;O1;Mine 5;500;O1;Gamaro Base;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scro;Low;Scro;"Moragspace is a sphere designed for the Spelljammer module SJS1 ""Goblin's Return."" Home of Gammaro base.";SJS1, SJQ1;TSR;;no
Faeriespace;Faerie;Yes;G9;171;206;1000;Great Tree;Genla;500;O1;Freemor;;;Agron;;;Tiqua;;;Morath;;;Krag;;;Beastra;;;Mish;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;Fae;Low;Self;"Faeriespace is a sphere created for the ""Crystal Spheres"" campaign module SJA3. History can be found there in.";SJA3 p.18-20;TSR;;yes
Ceyparisphere;Ceypari;Yes;H1;193;390;844;Ceyparis;Burning Crown;1;I0;Wind Shell;12;I1;Asifor;16;I1;Hulior;255;I13;Boja;422;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;Low;None;;;blackdaggr;www.ganae.com/Dnd/Wildspace/Iron_Sun.html;yes
Steel Star Space;Steel Star;Yes;H10;197;162;4000;Hagane Taiyo;Ur-Yon;84;I4;Ika-Aan; ;O0;Korryl;;;Corrokui;;;Akzaki;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ogres;High;Ogres;Home of ogre spacefaring fleet;SJR1 p.56;TSR/Ed Greenwood/Adam Miller;http://www.thepiazza.org.uk/bb/viewtopic.php?p=106943#p106943;no
Osraspace;Osra;Yes;H10;200;175;4000;Rastur;Rasturell;40;I2;Torsia;140;I7;Tefir;240;I12;The Curtain;800;O2;Osrad;1400;O4;Yarga;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Blackflow;;;;;Maldin's Greyhawk;"Denis ""Maldin"" Tetreault";http://melkot.com/mechanics/sj-osraspace.html;yes
Nachtenspace;Nachten;Yes;H11;208;139;3118;Nacht;Gaua;104;I5;Noć;182;I9;Nocto;201;I10;Gece;327;O1;Noapte;417;O1;Usiku;1559;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Illithids;High;Illithids;Night sphere;Spike's Hammer;;;yes
Sunless Sphere;Sunless;Yes;H12;210;121;4864;Dying Sun;;83;I4;;189;I9;;282;I14;Darkwater;396;O1;;1986;O5;;2432;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Illithid Dominion;;Illithids;High;Illithids;Major Illithid shipbuilding centre;;Charles Taylor;;yes
Passarspace;Passar;Yes;H13;189;85;120;The Maw;Alpha Cluster;50;I3;Beta Cluster;45;I2;Gamma Cluster;45;I2;Delta Cluster;50;I3;Epsilon Cluster;30;I2;Zeta cluster;60;I3;Eta Cluster;55;I3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;;yes
Atlanspace;Atlan;Yes;H14;208;67;5666;;Atlantus;34;I2;;119;I6;;190;I10;Atlantus;299;I15;;409;O1;;2013;O5;;2833;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Lost Spheres;;;;;An ancient sphere, home to the planet Atlantus?;;;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;no
Cradlespace;Cradle;Yes;H2;207;370;800;Meyassidh;Athor;120;I6;Berga;120;I6;Casarom;120;I6;Hunysar;120;I6;Izambe;120;I6;Jeiba;120;I6;Kokor;120;I6;Lon-Parr;120;I6;Lorond;120;I6;Madar;120;I6;Munnac;120;I6;Nahed;120;I6;Olotrima;120;I6;Ridadai;120;I6;Sajaman;120;I6;Tenokan;120;I6;Thesseb;120;I6;Voska;120;I6;Wachimar;120;I6;Yano;120;I6;Betensar;400;O1;;;;;;;;;;;;;;blackdaggr;;yes
Rockspace  ;Rock;Yes;H3;189;338;758;Sun, Rockspace;Toolfyd;122;I6;Fallux;189;I9;Uptoor;199;I10;Minja;239;I12;Citadel Maker;379;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dwarves;Low;IEN;Rockspace is the most ideal sphere for making dwarven citidels. The great amount of rock on Citadel Maker, Minja, and Toolfyd give it its name.;SJR4 p.7;Rovion;;yes
Chromaspace;Chroma;Yes;H4;211;311;520;Bialtur;Nyvisien;80;I4;Yertasien;80;I4;Therosien;80;I4;Rothir;200;I10;Ulzir;200;I10;Vandir;200;I10;Samaldia;260;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;Part of Gatespace Cluster;;blackdaggr;www.ganae.com/Dnd/Wildspace/Chromaspace.html;yes
Chitinspace;Chitin;Yes;H4;202;312;520;Insect's Eyes;Rakak-Ord;260;I13;Keddak-Ti;260;I13;Chik-Tani;260;I13;Choja-Ruk;260;I13;Taithek;260;I13;Ryttos;260;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;Part of Gatespace Cluster;;blackdaggr;www.ganae.com/Dnd/Wildspace/Chitinspace.html;yes
Thuriaspace;Thuria;Yes;H4;195;326;4800;Losra;Aguanta;60;I3;Pyrosa;80;I4;Thuria;100;I5;Boreas;140;I7;Quindelphos;180;I9;Zidacos;400;O1;Enolis;1200;O3;The Pixie;2400;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Brian Higbee;www.ganae.com/DnD/Wildspace/Thuriaspace.html;yes
Splitspace;Split;Yes;H5;206;298;480;Mehlcix;Tybard;60;I3;Kasalsh;120;I6;Sycrubin;160;I8;Bewcartch;220;I11;Donema;240;I12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;Part of Gatespace Cluster (Part of Splitspace);;;www.ganae.com/Dnd/Wildspace/Splitspace.html;yes
Splitspace part 2;Split 2;Yes;H5;206;297;480;Todrima;Debargen;20;I1;Zontex;80;I4;Naradia;160;I8;Tixmar;200;I10;Kestriff;240;I12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;Part of Gatespace Cluster (Part of Splitspace);;;www.ganae.com/Dnd/Wildspace/Splitspace.html;yes
Shamblespace;Shamble;Yes;H5;213;303;520;Empty;Toilnys;20;I1;The Lagan Zone;150;I8;Suithine;260;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;;;blackdaggr;www.ganae.com/Dnd/Wildspace/Shamblespace.html;yes
Windyspace;Windy;Yes;H5;200;305;520;Uelde;Rynness;20;I1;Kypale;40;I2;Kinis;60;I3;Isulo;100;I5;Rothaler;180;I9;Bescha;260;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Part of Gatespace Cluster;;blackdaggr;www.ganae.com/Dnd/Wildspace/Windypace.html;yes
Gatespace;Gate;Yes;H5;206;305;3600;Hasaril;Wegrya;10;I1;Belagin;40;I2;Phaeris;60;I3;Dauveron;70;I4;Ganae;110;I6;The Braid;400;O1;Lindrac;800;O2;Krensar;1000;O3;Aeslir;1600;O4;The Strinads;1800;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Gatespace Cluster;;;;;Centre of the Gatespace Cluster;;blackdaggr;www.ganae.com/DnD/Wildspace/World.html;yes
Herospace;Hero;Yes;H8;196;218;1600;Ge'Neva;Borden;1;I0;Gordorin;800;O2;Hearthguard;800;O2;Darkseed;800;O2;Cumberland;800;O2;Morgan's World;800;O2;Woodhaven;800;O2;Asylum;800;O2;Chaostromme;800;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Radiant Triangle;;;;;;SJA3 p.9-17;;;yes
