name;size;diameter;shape;details;type;primaryBody;moons;rings;enviroment;population;description;sphere;shortName;onMap?;notes;source;creator;website
Chik-Tani;F;;Ο;;Earth;;;;;Insectoids;;Chitinspace;Chitin;Yes;;;;
Keddak-Ti;G;;◗;;Earth;;;;;Thri-Kreen, K'r'rrr;;Chitinspace;Chitin;Yes;;;;
Rakak-Ord;G;;◗;;Earth;;;;;Thri-Kreen;;Chitinspace;Chitin;Yes;;;;
Ryttos;G;;△;Bowl;Earth;;;;;K'r'rrr;;Chitinspace;Chitin;Yes;;;;
Taithek;G;;△;Bowl;Earth;;;;;;;Chitinspace;Chitin;Yes;;;;
Nyvisien;E;;;;Earth;;;;;;;Chromaspace;Chroma;Yes;;;;
Therosien;E;;;;Earth;;;;;;;Chromaspace;Chroma;Yes;;;;
Yertasien;E;;;;Earth;;;;;;;Chromaspace;Chroma;Yes;;;;
Haven;A;;;;Earth;;;;;;;Cloakspace  ;Cloak;Yes;;;;
Dust Belt;A;;‡;;Earth;;;;;;;Cloudspace;Cloud;Yes;100m thick;;;
Talerra;E;;;;Earth;;1;;;;;Cloudspace;Cloud;Yes;;;;
Bodi;D;;;;Earth;;;;;;;Colorspace  ;Color;Yes;;SJR4 p.16;;
Gongleti;G;;;;Earth;;;;;;;Colorspace  ;Color;Yes;;;;
Cessation;A;;;;Earth;;;;;;;Countspace  ;Count;Yes;;;;
Epilogue;B;;;;Earth;;;;;;;Countspace  ;Count;Yes;;;;
Generation;C;;;;Earth;;;;;;;Countspace  ;Count;Yes;;;;
Sextant;E;;;;Earth;;;;;;;Countspace  ;Count;Yes;;;;
Trilogy;H;;;;Earth;;;;;;;Countspace  ;Count;Yes;;;;
Cyndet;;;;;Earth;;;;;;;Crackedspace;Cracked;Yes;;;;
The Spindle;;;△;;Earth;;;;;;;Crackedspace;Cracked;Yes;;;;
Casarom;F;;‡;Ring;Earth;;;;;Casarins;;Cradlespace;Cradle;Yes;;;;
Hunysar;D;;;Spheroid;Earth;;;;;;;Cradlespace;Cradle;Yes;;;;
Izambe;F;;◗;Disc;Earth;;;;;Izams;;Cradlespace;Cradle;Yes;;;;
Jeiba;E;;△;Star;Earth;;;;;Jeibans;;Cradlespace;Cradle;Yes;;;;
Kokor;E;;△;Cylinder;Earth;;;;;K'karos;;Cradlespace;Cradle;Yes;;;;
Lon-Parr;E;;;;Earth;;;;;Parr-lons;;Cradlespace;Cradle;Yes;;;;
Madar;D;;;;Earth;;;;;Madarins;;Cradlespace;Cradle;Yes;;;;
Munnac;D;;;;Earth;;;;;Uninhabited;;Cradlespace;Cradle;Yes;;;;
Nahed;D;;△;Bowl;Earth;;;;;Nahedils;;Cradlespace;Cradle;Yes;;;;
Olotrima;E;;△;Jack;Earth;;;;;Olotris;;Cradlespace;Cradle;Yes;;;;
Sajaman;D;;;;Earth;;;;;Undead;;Cradlespace;Cradle;Yes;;;;
Tenokan;D;;△;Tiered flatworld;Earth;;;;;Tenoks;;Cradlespace;Cradle;Yes;;;;
Thesseb;D;;Ο;;Earth;;;;Desert;Thessibis;;Cradlespace;Cradle;Yes;;;;
Voska;D;;Ο;;Earth;;;;Cold;Muvosks;;Cradlespace;Cradle;Yes;;;;
Wachimar;E;;◗;Rectangular;Earth;;;;;Wachimons;;Cradlespace;Cradle;Yes;;;;
Yano;D;;Ο;Oblate;Earth;;;;;Yanokais;;Cradlespace;Cradle;Yes;;;;
Athas;E;;;;Earth;;;;;;;Crimson Sphere;Crimson;Yes;Dark Sun campaign world;;;
Cinder;C;;;;Earth;;;;;;;Crimson Sphere;Crimson;Yes;;;;
K'ydon;C;;;;Earth;;;;;;;Crimson Sphere;Crimson;Yes;;;;
Naftun;E;;;;Earth;The Shadow;;;;;;Crimson Sphere;Crimson;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
The Sextant;A/B;;‡;;Earth;;;;;;;Crimson Sphere;Crimson;Yes;;;;
Crystal Shell;S;;;Lines shell;Earth;;;;;;;Crystalspace;Crystal;Yes;;;;
Brock;C;;;;Earth;;;;;;;Cubespace;Cube;Yes;;;;
Diamond Rock;B;;△;Pyramid;Earth;;;;;;;Cubespace;Cube;Yes;crystalline;;;
Kyral;G;;;;Earth;;1;;;;;Cy'Prenspace;Cy'Pren;Yes;moon (Missos);;;
Vistrilon;G;;;;Earth;;1;;;;;Cy'Prenspace;Cy'Pren;Yes;moon (Rivsha);;;
Forbidden Reach;A;;;;Earth;;;;;;;Darkspace;Dark;Yes;;;;
New Thesalys;A;;;;Earth;;;;;;;Darkspace;Dark;Yes;;;;
The Breach;A;;;;Earth;;;;;;;Darkspace;Dark;Yes;;;;
Verin;;;;;Earth;;;;;;;Darkspace;Dark;Yes;;;;
Darnannon;E;;;;Earth;;;;;;;Darnannonspace;Darnannon;Yes;;;;
Dolbuth;D;;;;Earth;;;;;;;Darnannonspace;Darnannon;Yes;;;;
Kar Loch;F;;;Shell;Earth;;;;;;;Darnannonspace;Darnannon;Yes;asteroid shell;;;
Orthean;A;;;Shell;Earth;;;;;;;Darnannonspace;Darnannon;Yes;Asteroid shell;;;
Sha Loch;F;;;;Earth;;;;frozen;;;Darnannonspace;Darnannon;Yes;;;;
Cliff;B;;△;Wedge;Earth;;;;;;;Dirkspace  ;Dirk;Yes;;;;
Dagger;C;;◗;;Earth;;;;;;;Dirkspace  ;Dirk;Yes;;;;
Dirk;C;;◗;;Earth;;;;;;;Dirkspace  ;Dirk;Yes;;;;
Knife;B;;◗;;Earth;;;;;;;Dirkspace  ;Dirk;Yes;;;;
Whetstone;E;;◗;;Earth;;;;;;;Dirkspace  ;Dirk;Yes;;;;
Draconia;G;;;;Earth;;3;;;Allyri;;Dragonspace;Dragon;Yes;;;;
Sunmask;C;;❑;;Earth;;;;;;;Dragonspace;Dragon;Yes;;;;
The Rocks;A&B;;‡;;Earth;;;;Thin atmosphere;;;Dragonspace;Dragon;Yes;;;;
Abhorrenon;H;479.000;;;Earth;;1;;;Illithids, slaves;;Dreadmindspace;Dreadmind;Yes;;;;
Phobios;G;41.000;◗;;Earth;;1;;;Illithids, slaves;;Dreadmindspace;Dreadmind;Yes;;;;
Bahgtru's Teeth;A;3;‡;;Earth;;;;;;;Dukagshspace;Dukagsh;Yes;;;;
Dungeonsphere  ;I;7.842.010;;;Earth;;;;;;;Dungeonsphere  ;Dungeon;Yes;;;;
Masser;D;2.842;;Hollow, patchy sphere;Earth;Nirn;;;;;;Elderspace;Elder;Yes;;The Elder Scrolls game series;;
Nirn;E;5.441;;;Earth;;;;;;;Elderspace;Elder;Yes;;The Elder Scrolls game series;;
Secunda;D;1.214;;Hollow, patchy sphere;Earth;Masser;;;;;;Elderspace;Elder;Yes;;The Elder Scrolls game series;;
D'Necat;E;;;;Earth;;1;;;Good Beholders!;;Elespatio/Latierra;Elespatio;Yes;moon (Grrshak);;;
Dhagana;C;;;;Earth;;;;;Lizard-men;;Elespatio/Latierra;Elespatio;Yes;;;;
Elespatio Belt;A;;‡;;Earth;;;;;;;Elespatio/Latierra;Elespatio;Yes;;;;
Latierra;E;;;;Earth;;7;;;;;Elespatio/Latierra;Elespatio;Yes;7 moons (Hecate, Math Mathonwy, O-Kuni-Nushi, Isis, Soma, Mon, Sehaine/Eilistraee);;;
Palatora;C;;◗;Disk;Earth;;;;;uninhabited;;Elespatio/Latierra;Elespatio;Yes;;;;
Uraniva;D;;;;Earth;;;;;Orcs;;Elespatio/Latierra;Elespatio;Yes;;;;
Værniss;E;;;;Earth;;2;;;Good Illithids;;Elespatio/Latierra;Elespatio;Yes;2 moons (Isytha, Rissess);;;
Cracked Embers;A-C;;‡;;Earth;;;;;;;Emberspace;Ember;Yes;;;;
Gray Embers;A-C;;‡;;Earth;;;;Ash;Xorn;;Emberspace;Ember;Yes;;;;
Mystra;;;◗;;Earth;;;;Barren;Uninhabited;;Emongspace;Emong;Yes;;;Susan Brown;
Segra;;;;;Earth;;;;Desolate;;;Emongspace;Emong;Yes;;;Susan Brown;
Tenalp;;;;;Earth;;;;;;;Emongspace;Emong;Yes;Mineral rich;;Susan Brown;
Trantor;;;;;Earth;;;;Woodland;;;Emongspace;Emong;Yes;;;Susan Brown;
Urdlea;;;Ο;;Earth;;;;Barren desert;;;Emongspace;Emong;Yes;;;Susan Brown;
Ir;B;;;;Earth;;;;;;;Fallspace;Fall;Yes;;;;
Mer, Fallspace;E;;;;Earth;;;;;;;Fallspace;Fall;Yes;;;;
Sur;C;;;;Earth;;;;;;;Fallspace;Fall;Yes;;;;
Falx;F;;;;Earth;;;;;;;Falxspace;Falx;Yes;;SJR4 p.7;;
Kithrup;D;;;;Earth;;;;;;;Falxspace;Falx;Yes;;From Startide Rising;;
Pharagos;E;;;;Earth;;;;;Githyanki & Githzeri;;Falxspace;Falx;Yes;;From Dungeon #100;;http://en.wikipedia.org/wiki/Forerunner_(Dungeons_&_Dragons)
Ssirik Akuar;E;;;;Earth;;;;;;;Falxspace;Falx;Yes;;From Dragon #150;;
Torus;F;;△;Torus;Earth;;;;;;;Farabaspace;Faraba;Yes;;SJR4 p.44;;
Midgard;;;;;Earth;;;;;;;Fjordspace;Fjord;Yes;;;;
Nia;B;;◗;;Earth;;;;;;;Flatspace  ;Flat;Yes;;;;
Plata;C;;◗;;Earth;;;;;;;Flatspace  ;Flat;Yes;;SJR4 p. 46;;
Forcelia;E;7.582;;;Earth;;;;;;;Sword World Space;Forcelia;Yes;;"""Record of Lodos War"" etc.";;
Earthbound;F;;;;Earth;;;;;;;Formspace;Form;Yes;;;;
Dauveron;D;;;;Earth;;;;;;;Gatespace;Gate;Yes;;;;
Ganae;E;;;;Earth;;;;;;;Gatespace;Gate;Yes;;;;
Lindrac;F;;❑;;Earth;;;;;;;Gatespace;Gate;Yes;;;;
The Braid;D;;‡;;Earth;;;;;;;Gatespace;Gate;Yes;;;;
Cyclop;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Desert Giant;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Ettin;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Firbolg;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Fog Giant;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Fomorian;I;;❄;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Hill Giant;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Jungle Giant;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;Own Sun;;;
Mountain Giant;I;;;;Earth;;;;;;;Giantspace ;Giant;Yes;;;;
Bragar;D;;;;Earth;;;3 water;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Connatra;F;;;;Earth;;;ice;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Kaluf;;;△;Regular polyhedron;Earth;;3;;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Mono;;;;;Earth;MonoTakaRhee;;;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
MonoTakaRhee;;;;;Earth;;;;;;3 earth bodies;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Rhee;;;;;Earth;MonoTakaRhee;;;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Taka;;;;;Earth;MonoTakaRhee;;;;;;Gladiusspace;Gladius;Yes;;Spelljammer Mailing List;Nancy E (lea) Hall;http://oracle.wizards.com/scripts/wa.exe?A2=ind0307e&L=spelljammer-l&P=944
Aballon;D;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;http://pathfinder.wikia.com/wiki/Aballon
Akiton;E;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Akiton
Apostae;D;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Apostae
Aucturn;E;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Aucturn
Castrovel;E;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Castrovel
Eox;D;;;;Earth;;;;Void;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Eox
Triaxus;E;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Triaxus
Verces;E;;;;Earth;;;;;;;Golarionspace;Golarion;Yes;;Pathfinder;Pazio;pathfinder.wikia.com/wiki/Verces
Alfar;B;90;;;Earth;Golotspace Belt;;;;Elves;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/AsteroidBelt.html
Bel;C;950;;;Earth;Golotspace Belt;;;;Humans, Gnomes;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/AsteroidBelt.html
Delphos;C;500;;;Earth;Golotspace Belt;;;;Humans;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/AsteroidBelt.html
Golot / Dragonworld;E;;;;Earth;;1;;;;;Golotspace;Golot;Yes;Moon (Olympus);;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/
Golotspace Belt;;;‡;;Earth;;;;;;;Golotspace;Golot;Yes;Surrounds Sol;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/
Hecate;C;600;;;Earth;Golotspace Belt;;;;Centaurs, Minotaurs;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/AsteroidBelt.html
Suynama;D;;;;Earth;;;;;;;Golotspace;Golot;Yes;;;Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/
The Bright Swarm;A;;;;Earth;;;;;;Meteor Swarm;Golotspace;Golot;Yes;;;;
Gorth;E;;◗;;Earth;;1;;Lush, ancient forests;Vodoni Humans;;Gorthspace;Gorth;Yes;;SJA4 p.52;TSR;http://www.archlich.com/kotsc/Places/VodoniCluster/Gorthspace.html
Gorth 1;H;;;;Earth;;;fire;scorched desert;Azar;;Gorthspace;Gorth;Yes;;;Charles Taylor;
Gorth Prime;F;;;;Earth;;;;Void;;Reflective;Gorthspace;Gorth;Yes;;;;
Kodizana;D;;Ο;;Earth;;1;;Cold, volcanic;Humans, Nycters, Goblins;;Gossamerspace;Gossamer;Yes;;;;
Perathen;E;;;;Earth;;;earth;agrarian;Halflings;;Gossamerspace;Gossamer;Yes;;;;
Rayelmi;C;;◗;;Earth;;;fire;;Reigar, Lakshu;;Gossamerspace;Gossamer;Yes;;;;
Tai'danuul;C;;;;Earth;Sacafeda;;;;;;Gossamerspace;Gossamer;Yes;liveworld?;;;
Tas'bure;C;;;Female human;Earth;Sacafeda;;;;Humans, Halflings, Reigar;;Gossamerspace;Gossamer;Yes;Sculpted;;;
Ulforin;D;;Ο;;Earth;;;Ice spirals;Icy;Uldra, other arctic races;;Gossamerspace;Gossamer;Yes;;;;
Ves'nysu;B;;;Torus;Earth;Sacafeda;;;;;;Gossamerspace;Gossamer;Yes;;;;
Boran;C;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Hecht;D;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Karrington;B;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Lagor's World;F;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Longpoint;G;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Skora;C;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Thesalys;E;;;;Earth;;;;;;;Greatspace;Great;Yes;;;;
Borka;A;;;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
Ginsel;C;;;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
Greela;E;;;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
Kule;B;;;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
Oerth;E;;;;Earth;;;;;;;Greyspace;Grey;Yes;;Greyhawk;;
Raenei;D;;;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
The Grinder;B;;‡;;Earth;;;;;;;Greyspace;Grey;Yes;Shell;;;
The Spectre;B;;◗;;Earth;;;;;;;Greyspace;Grey;Yes;;;;
Gaya;F;;;;Earth;;;;;;;Grommspace  ;Gromm;Yes;;;;
Agmar;E;;;;Earth;;;;;;;Guardspace;Guard;Yes;;;;
Calim;G;;;;Earth;;;;Snowy;;;Guardspace;Guard;Yes;;;;
Grothag;E;;◗;Disk;Earth;;;;;;;Guardspace;Guard;Yes;Vikings!;;;
Hurmus;D;;;;Earth;;;;Desert;;;Guardspace;Guard;Yes;;;;
Stattoo;C;;;;Earth;;;;Eternal Spring;;;Guardspace;Guard;Yes;;;;
Winsfar;E;;;;Earth;;;2;;;;Guardspace;Guard;Yes;;;;
Alava, Harthspace;I;;◗;;Earth;;;;;;;Harthspace;Harth;Yes;;;;
Harth;F;;;;Earth;;;;;;;Harthspace;Harth;Yes;;;;
Macgarth;B;;;;Earth;;;;;;;Harthspace;Harth;Yes;;;;
Traven;I;;‡;;Earth;;;;;;;Harthspace;Harth;Yes;;;;
Crescent;B;;△;Crescent;Earth;;;;;;;Heartspace;Heart;Yes;Great Archive;;;
Desolate;D;;;;Earth;;;;;;;Heartspace;Heart;Yes;;;;
Lirak's Cube;A;;❑;;Earth;;;1;;;;Heartspace;Heart;Yes;;;;
Starfall;B;;◗;;Earth;;;;;;;Heartspace;Heart;Yes;;;;
The Vein;A;;‡;;Earth;;;;;;;Heartspace;Heart;Yes;;;;
Borgash;E;;;;Earth;;;;400°;;;Heatspace  ;Heat;Yes;;;;
Florint;E;;;;Earth;;;;;;;Heatspace  ;Heat;Yes;;;;
Scorch;B;;;;Earth;;;;;;;Heatspace  ;Heat;Yes;;;;
Scorch;A;;;;Earth;;;;;;;Heatspace  ;Heat;Yes;;;;
Shell Land;S;;;Shell;Earth;;;;;;;Herdspace;Herd;Yes;;;;
Hark;C;;◗;;Earth;;;;;;;Horrorspace;Horror;Yes;;;;
Demet;D;;◗;;Earth;;8;1;;;;Hyrkulspace;Hyrkul;Yes;;;;
Hyrkul;E;;;;Earth;;1;;;;;Hyrkulspace;Hyrkul;Yes;;;;
Hyrkulspace Asteroid Belt;A;;‡;;Earth;;;;;;;Hyrkulspace;Hyrkul;Yes;;;;
Fagras;F;;;;Earth;;;;void;;;Igniaspace;Ignia;Yes;;;;
Tanor;D;;;;Earth;;;;void;;;Igniaspace;Ignia;Yes;;;;
Dragon;E;;;;Earth;;2;;;;;Imperial Space;Imperial;Yes;2 moons (Fireball, Salamander);;;
Gold Coin;F;;△;Hemisphere;Earth;;1;;;;;Imperial Space;Imperial;Yes;asteroid chain, moon (Tyrant);;;
Ironshod;C;;❑;;Earth;;;;;;;Imperial Space;Imperial;Yes;iron-rich, toxic;;;
Nimbus;;;;;Earth;;;;;;;Imperial Space;Imperial;Yes;;;;
Commons;A;;◗;;Earth;;;;;;;Inspace ;In;Yes;;;;
Growthspawn;D-F;;;;Earth;;;;;;;Inspace ;In;Yes;Resizes?;;;
Toll Ring;A;;‡;;Earth;;;;;;;Inspace ;In;Yes;;;;
Caen;E;7.493;;;Earth;;3;;;;;Ironspace;Iron;Yes;Iron Kingdoms campaign setting;Privateer Press;;http://privateerpress.com/iron-kingdoms
Laris;D;2.646;;;Earth;Caen;;;;;;Ironspace;Iron;Yes;;Privateer Press;;http://privateerpress.com/iron-kingdoms
Lucant;C;925;;;Earth;;;;;;;Ironspace;Iron;Yes;;Privateer Press;;http://privateerpress.com/iron-kingdoms
Britania;D;;;;Earth;;;;;;;Islandspace;Island;Yes;;;;
Delk;D;;;;Earth;;3;;;;;Jadespace ;Jade;Yes;;;;
Junda;E;;;;Earth;;1;;;;;Jadespace ;Jade;Yes;1 phase moon;;;
Merk;F;;Ο;;Earth;;7;;;;;Jadespace ;Jade;Yes;;;;
Parla;D;;;;Earth;;;;;;;Jadespace ;Jade;Yes;;;;
StarLancus;C;;△;Icosahedron;Earth;;1;;;;;Jadespace ;Jade;Yes;;;;
Thannes;D;;△;Dish;Earth;;;;;;;Jadespace ;Jade;Yes;Dual;;;
Titan;D;;;;Earth;;1;;;;;Jadespace ;Jade;Yes;1 large moon;;;
UsSpey;D;;‡;;Earth;;;;;;;Jadespace ;Jade;Yes;;;;
Warance;D;;;;Earth;;2;;;;;Jadespace ;Jade;Yes;;;;
Diggings Cold;G;;;;Earth;;;;;;;Keelspace  ;Keel;Yes;;;;
Diggings Hot;G;;;;Earth;;;;;;;Keelspace  ;Keel;Yes;;;;
Anzar;D;;;;Earth;;;3;;;;Knightspace  ;Knight;Yes;Advanced crystal magi-tech;;;
Serinth;E;;△;Tetrahedron;Earth;;2;;;;;Knightspace  ;Knight;Yes;2 moons (Maar, Sharl);;;
Glayse;C;;;;Earth;;;;;;;Korvspace;Korv;Yes;Neogi base;;;
Ilthurk;C;;△;Torus;Earth;;;;;;;Korvspace;Korv;Yes;;;;
Klegrn's Bones;B;;‡;;Earth;;;;;;;Korvspace;Korv;Yes;;;;
Korvada;E;;;;Earth;;2;;;;;Korvspace;Korv;Yes;2 moons (Xbral, Angue);;;
Lipoca;F;;;;Earth;;;;;;;Korvspace;Korv;Yes;;;;
Thri-Kreen Homeworld;;;;;Earth;;;;;Thri-Kreen;;Kreenspace;Kreen;Yes;;;;
Krull;E;;;;Earth;;;;;;;Krullspace;Krull;Yes;;;;
Krynn;D;;;;Earth;;3;;;;;Krynnspace;Krynn;Yes;Dragonlance campaign world;Dragoinlance;;
Krynn;E?;;;;Earth;;;;;;;Krynnspace;Krynn;Yes;(after removal from Krynnspace);Dragonlance;;
Nehsmyth;C;;Ο;Ovoid;Earth;;;;;Neogi;;Krynnspace;Krynn;Yes;;;;
Reorx;D;;;;Earth;;1;;;;;Krynnspace;Krynn;Yes;;;;
Stellar Islands;A;;;;Earth;;;;;;;Krynnspace;Krynn;Yes;;;;
Zivilyn;F;;;;Earth;;;;;;;Krynnspace;Krynn;Yes;;;;
Xenix;D;2.500;;;Earth;;1;;;;;Lahsphere;Lah;Yes;;Beyond the Moons;Ville Lavonius;http://www.spelljammer.org/worlds/locs/Xenix.html
Lharn;E;5.000;△;Yo-Yo;Earth;;1;;;Humanoids, Drow;;Lharnspace;Lharn;Yes;;Beyond the Moons;Afterburner;http://www.spelljammer.org/worlds/locs/Lharn.html
Chian Cluster;D;;;;Earth;;;;;;;Lostspace;Lost;Yes;;;;
Golgotha;D;;;;Earth;;1;;;;;Lostspace;Lost;Yes;Moon cluster (Haze);;;
Ious;C;;;;Earth;;;;;;;Lostspace;Lost;Yes;;;;
Rime;D;;;;Earth;;;;;;;Lostspace;Lost;Yes;;;;
Hervanus;;;;;Earth;;;;;;;Luftrain Sphere;Luftrain;Yes;;;Susan Brown;
Klictar;;;;;Earth;;;;;Feudal Horse Lords;;Luftrain Sphere;Luftrain;Yes;;;Susan Brown;
Luftrain Belt;A-B;;‡;;Earth;;;;;;;Luftrain Sphere;Luftrain;Yes;Destroyed by Scro?;;Susan Brown;
Tantar;;;;;Earth;;;;Voidworld;;;Luftrain Sphere;Luftrain;Yes;;;Susan Brown;
Gaia;E;;;;Earth;;2;;Flooded;;;Maginciaspace;Magincia;Yes;;;;
Magincaspace Belt;B;;‡;;Earth;;;;;;;Maginciaspace;Magincia;Yes;100,000 miles thick;;;
Rashaag;D;1.100;;;Earth;;many;;;;;Maginciaspace;Magincia;Yes;;;;
Uranus, Magincaspace;F;16.200;;;Earth;;4;;;;;Maginciaspace;Magincia;Yes;Blue-purple, 4 moon;;;
Vos;J;62.300.000;;;Earth;;;;slightly poisonous;;;Maginciaspace;Magincia;Yes;;;;
Ainatit;C;980;;;Earth;Sunaru;;;;;;Majspace;Maj;Yes;;;;
Dioretsa;A-C;;‡;;Earth;;;;;Dwarves;;Majspace;Maj;Yes;;;;
Edemenag;D;3.274;;;Earth;Retipuj;;;;;;Majspace;Maj;Yes;;;;
Maj;E;7.918;;;Earth;;1;;;Humans;;Majspace;Maj;Yes;;;;
Natit;D;3.201;;;Earth;Nrutas;;;;Drow;;Majspace;Maj;Yes;;;;
Noom;D;2.159;;;Earth;Maj;;;;Winged Goblins;;Majspace;Maj;Yes;;;;
Norebo;C;946;;;Earth;Sunaru;;;;;;Majspace;Maj;Yes;;;;
Notirt;D;1.682;;;Earth;Enutpen;;;;;;Majspace;Maj;Yes;;;;
Otulp;D;1.433;;;Earth;;3;;;;;Majspace;Maj;Yes;;;;
Sram;E;4.220;;;Earth;;2;;;Hobgoblins, Goats;;Majspace;Maj;Yes;2 moons (Phobos, Deimos);;;
Sunev;E;7.521;;;Earth;;;;;Scro, Elves;;Majspace;Maj;Yes;;;;
Yrcurem;D;3.032;;;Earth;;;;;Misc. Humanoids;;Majspace;Maj;Yes;;;;
Anxles;;;;;Earth;;;;;;;Marlspace;Marl;Yes;;;Susan Brown;
Necklace of Kerless;A-D;;‡;;Earth;;;;;;;Marlspace;Marl;Yes;;;Susan Brown;
Acrutias;E;;;;Earth;;;;;;;Merspace;Mer;Yes;;;;
Grissa;C;;;;Earth;;;;;;;Merspace;Mer;Yes;;;;
Grissa Cluster;;;;;Earth;Grissa;;;;;;Merspace;Mer;Yes;;;;
Kelsier;;;;;Earth;Mer;;;;;;Merspace;Mer;Yes;;;;
Maasal;F;;;;Earth;;;;;;;Merspace;Mer;Yes;;;;
Garatoch;E;;;;Earth;;1;;Mostly ocean;;;Metalspace;Metal;Yes;;;;
Verdigris;C;;;;Earth;;;;;;;Metalspace;Metal;Yes;;;;
Aquaria;B;;;;Earth;;;;;;;Mongospace;Mongo;Yes;;Flash Gordan;;
Arboria, Mongo;B;;△;Bowl;Earth;;;;Forested;Elves;;Mongospace;Mongo;Yes;;Flash Gordan;;
Char;B;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Mine 1;A;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Mine 2;A;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Mine 3;A;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Mine 4;A;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Mine 5;A;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
The Vice;B;;;;Earth;;;;;Scro;;Moragspace;Morag;Yes;;;;
Alphakisi;D;;;;Earth;;;;;;;Mystaraspace;Mystara;Yes;created after Asterius' destruction;;;
Damocles;E;;◗;;Earth;;;;;;;Mystaraspace;Mystara;Yes;;;;
Helae;F;;◗;;Earth;;;;;;;Mystaraspace;Mystara;Yes;;;;
Mystara;E;;;;Earth;;2;;;;;Mystaraspace;Mystara;Yes;Hollow, 2 moons (Pataera, Matera);;;
